Mã bưu cục,Bưu cục,Địa chỉ,lat,long,Quận,Bưu tá,number_of_order,average_1,average_2
112400,Bưu cục cấp 3 Bách Khoa,"Sô´P12-A17, Phố Tạ Quang Bửu, Phường Bách Khoa, Quận Hai Bà Trưng",21.00397069,105.8475064,hai bà trưng,13,9,0.6923076923076923,1.4444444444444444
123080,Bưu cục cấp 3 EMS Cầu Giấy,"Sô´T. N09,193, Đường Trung Kính, Phường Trung Hòa, Quận Cầu Giấy",21.01803779,105.7927856,cầu giấy,8,29,3.625,0.27586206896551724
123071,Bưu cục cấp 3 EMS KHL Cầu Giấy,"Sô´Tòa N02, Ngõ 259, Phố Yên Hòa, Phường Yên Hòa, Quận Cầu Giấy",21.02024639,105.7932248,cầu giấy,18,19,1.0555555555555556,0.9473684210526315
118800,Bưu cục cấp 3 Thanh Niên,"Số 1, Phố Trấn Vũ, Phường Trúc Bạch, Quận Ba Đình",21.04445498,105.8382919,ba đình,9,40,4.444444444444445,0.225
129731,Điểm BĐVHX Bưu điện Minh Khai,"Thôn Ngoạ Long, Xã Minh Khai, Quận Nam Từ Liêm",21.05124142,105.7454222,nam từ liêm,12,0,0.0,-1.0
130301,Điểm BĐVHX Trung Văn,"Thôn Trung Văn, Phường Trung Văn, Quận Nam Từ Liêm",20.99306736,105.7781855,nam từ liêm,11,101,9.181818181818182,0.10891089108910891
128600,Điểm BĐVHX Thanh Trì,"Thôn Vĩnh Thuận, Phường Thanh Trì, Quận Hoàng Mai",20.99297483,105.8866564,hoàng mai,12,41,3.4166666666666665,0.2926829268292683
128400,Điểm BĐVHX Yên Sở,"Thôn Yên Duyên, Phường Yên Sở, Quận Hoàng Mai",20.96718657,105.8704812,hoàng mai,19,62,3.263157894736842,0.3064516129032258
126000,Điểm BĐVHX Giang Biên,"Tổ 1, Phường Giang Biên, Quận Long Biên",21.06353169,105.9185042,long biên,11,58,5.2727272727272725,0.1896551724137931
125900,Điểm BĐVHX Thượng Thanh,"Tổ 10, Phường Thượng Thanh, Quận Long Biên",21.05645393,105.8880393,long biên,7,55,7.857142857142857,0.12727272727272726
152351,Điểm BĐVHX Yên Nghĩa,"Tổ dân phố số 10 - Yên Lộ, Phường Yên Nghĩa, Quận Hà Đông",20.95630262,105.7308827,hà đông,17,7,0.4117647058823529,2.4285714285714284
130000,Điểm BĐVHX Đại Mỗ,"Tổ dân phố xóm Tháp, Phường Đại Mỗ, Quận Nam Từ Liêm",20.9958654,105.7533298,nam từ liêm,5,57,11.4,0.08771929824561403
129733,Bưu cục cấp 3 Bưu cục Thương mại điện tử Từ Liêm,"Đường 32, Xã Minh Khai, Quận Nam Từ Liêm",21.04011589,105.7649273,nam từ liêm,12,17,1.4166666666666667,0.7058823529411765
122801,Hòm thư Công cộng độc lập trường Đại học Thương mại,"Đường Hồ Tùng Mậu, Phường Mai Dịch, Quận Cầu Giấy",21.03807658,105.7737483,cầu giấy,16,14,0.875,1.1428571428571428
129140,Bưu cục cấp 3 Mỹ Đình 2,"Đường Nguyễn Cơ Thạch, Phường Mỹ Đình 2, Quận Nam Từ Liêm",21.04013822,105.7649456,nam từ liêm,20,0,0.0,-1.0
125600,Bưu cục cấp 3 Sài Đồng,"Đường Nguyễn Văn Linh, Phường Sài Đồng, Quận Long Biên",21.02920053,105.9173729,long biên,20,209,10.45,0.09569377990430622
126414,Bưu cục văn phòng BĐTT5,"Đường Ngô Gia Tự, Phường Đức Giang, Quận Long Biên",21.06580943,105.8979284,long biên,15,62,4.133333333333334,0.24193548387096775
143311,Bưu cục văn phòng VCKVMB-UPS,"Đường Phạm Văn Đồng, Phường Xuân Đỉnh, Quận Bắc Từ Liêm",21.07832762,105.7866834,bắc từ liêm,19,50,2.6315789473684212,0.38
